InfoProvider;Categoria de Registro;Requisição BW;ID de sistema fonte;Data da última modificação;Nº Contrato;Empresa (Código);Empresa;Catalogo (Codigo);Catalogo;Nº Item do Contrato Superior;Data de Criação;Código de Eliminação;Descrição da Nota de QM;Categoria do Documento de Compras (Código);Categoria do Documento de Compras;Data do documento de compra;Item do Documento de Compras;Nº Documento de Material;Nº Pedido;Documento de Referência;Ano do documento de material;Etapa de Avaliação de Desempenho (Código);Etapa de Avaliação de Desempenho;Frente do Aprovador;Frente do Avaliador;Frequência de Avaliação (Código);Frequência de Avaliação;GUID Avaliação Final;GUID Avaliação Macro;Avaliação;Incoterms (Código);Incoterms;Item do Documento de Material;Item do Documento de Referência;Macrocategoria;Material (Código);Material;Família de Material (Código);Grupo de Mercadorias da Família (Código);Grupo de Mercadorias da Família;Tipo de Material da Família (Código);Tipo de Material da Família;Família de Material;Grupo de Material (Código);Grupo de Material;Motivo (Código);Motivo;Nota de QM;Nota de QM (Desc2);Organização de Compras (Código);Organização de Compras;Grupo de Códigos (Código);Grupo de Códigos;Segmento (Código);Segmento;Tipo de Configuração (Código);Tipo de Configuração;Cód.domicílio fiscal;Denominação Breve do Material;Aprovador;Nome do Aprovador;Avaliador;Nome do Avaliador;Fim do Prazo;Início do Prazo;Fornecedor (Código);Data de Validade CRCC;Indicador Corporativo;Número do CRCC;Fornecedor;Moeda (Código);Moeda;Moeda Valor;Contador BW;Contador para Documentos;Nota Final;Nota Macrocriterio;Nota Rev Macrocriterio;Peso Macrocriterio;Valor Bruto;Macrocritério
PBAMM008;0;00000000000000000000000;PB;18/12/2018;6600005131;;;;;00010;18/12/2018;;;;;;000010;5000062664;6700006603;6700006603;2018;05;;;;;;0A246B147FC51ED980DDF95BCA6C4B29;0A246B147FC51ED980DDF95BCA91CB29;0000009344;;;000001;000010;000;;;;;;;;;;;;;;;1001;PB P&D MERCADO INT;;;;;B;;SP;;;;;;;;0010119941;00000000;;;;BRL;;BRL;1;1;6;6;6;4;97987370,25;PRAZO
PBAMM008;0;00000000000000000000000;PB;11/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;11/08/2018;X;;F;;08/08/2018;000010;5000061625;4500045100;4500045100;2018;05;;;;;;0A246B147FC51ED8A7A4AD683D33CC83;0A246B147FC51ED8A7A4AD683D738C83;0000002995;CIP;Seguro com frete pago;000001;000010;000;;;;;;;;;10161700A;ARRANJOS DE FLORES;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TESTE DO ALARME;;;;;;;0010000219;00000000;;;SIGN NOW COMUNICACAO VISUAL LTDA;BRL;;BRL;1;0;4,570000172;6;6;10;100;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;18/12/2018;4600035534;;;;;00010;18/12/2018;;;;;;000010;;4500045974;4500045974;0000;02;;TIC/CPOM/STSIS/SUST;TIC/ADS-TI/SINPG;;;0A246B147FC51ED8BFA8755DE2518940;0A246B147FC51ED890E0A4270FDCCFB8;0000009336;;;000000;000010;000;;;000000000099000153;;;;;;;;;;;;2100;MM-E&P-UO-BC;;;;;G;;RJ;;XX82;Marcio Chagas MA Alvares;TST_01;Usuario de Teste;;;0010000321;00000000;;;ENGE-HIDRA COMERCIAL TECNICA LTDA.;BRL;;BRL;1;1;3,5;3,5;3,5;2;109,09;GESTÃO
PBAMM008;0;00000000000000000000000;PB;14/01/2019;;1000;Petróleo Brasileiro S.A.;;;00000;14/01/2019;;;F;;01/08/2017;000100;5000062917;4500045201;4500045201;2019;05;;;;;;0A246B147FC51ED9868511E134DFCFEF;0A246B147FC51ED9868511E135180FEF;0000009387;CIP;Seguro com frete pago;000001;000100;000;;;;;;;;;;;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;;;;;;;;0010000219;00000000;;;SIGN NOW COMUNICACAO VISUAL LTDA;BRL;;BRL;1;1;4,570000172;1;1;4;1000;PRAZO
PBAMM008;0;00000000000000000000000;PB;04/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;04/07/2018;;;F;;10/03/2018;000010;5000061424;4500044777;4500044777;2018;05;;;;;;0A246B147FC51ED89FF36C00F59545D7;0A246B147FC51ED89FF36C00F5C605D7;0000002833;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003285;00000000;;;ALGECO LOCAÇÃO E SERVIÇOS LTDA;BRL;;BRL;1;0;4,570000172;6;6;10;314,92;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;23/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;23/08/2018;X;;F;;22/08/2018;000010;5000061729;4500045171;4500045171;2018;05;;;;;;0A246B147FC51ED8A9DEFE86FC908DEF;0A246B147FC51ED8A9DEFE86FCCA0DEF;0000003047;CIP;Seguro com frete pago;000001;000010;000;;;;;;;;;10161700A;ARRANJOS DE FLORES;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TESTE DO ALARME;;;;;;;0010000219;00000000;;;SIGN NOW COMUNICACAO VISUAL LTDA;BRL;;BRL;1;0;4,570000172;6;6;10;100;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;29/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;29/08/2018;;;F;;29/08/2018;000010;5000061835;4500045214;4500045214;2018;05;;;;;;0A246B147FC51ED8AAF8B8972BC1CF0D;0A246B147FC51ED8AAF8B8972C0CCF0D;0000006411;CIF;Custo, seguro & frete;000001;000010;000;000000000010007133;Barra roscada AC 8.8 3/16-24FPP;;;;;;;31161618;BARRA ROSCADA;;;;;1050;MM-AB-UN-REDUC;;;;;B;;PR;AC 8.8 3 16 24FPP;;;;;;;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;0;6;6;6;10;9090,88;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;25/10/2018;;1000;Petróleo Brasileiro S.A.;;;00000;25/10/2018;;;F;;18/10/2018;000010;;4500045609;4500045609;0000;08;;;;;;0A246B147FC51ED8B68FB6419AD30126;0A246B147FC51ED798B6C1CBB399CB72;0000009269;CIP;Seguro com frete pago;000000;000010;000;000000000010000030;Tubo AC 5L-X46 s/c NBR 5580;;;;;;;41112901A;PARTES DE BUSSOLA;;;;;1050;MM-AB-UN-REDUC;;;;;;;RJ;TUBO AC 5L B PSL 2 S C 1 2  SCH160;;;;;;;0010001204;00000000;X;;CARBINOX COMERCIAL LTDA.;BRL;;BRL;1;1;1;1;1;1;10614510;SMS
PBAMM008;0;00000000000000000000000;PB;24/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;24/08/2018;;;F;;13/11/2017;000070;5000061773;4500043199;4500043199;2018;05;;;;;;0A246B147FC51ED8A9F93D9BDEEBCDE2;0A246B147FC51ED8A9F93D9BDF290DE2;0000003067;CIP;Seguro com frete pago;000001;000070;000;;;;;;;;;10161700A;ARRANJOS DE FLORES;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TESTE DO ALARME;;;;;;;0010000219;00000000;;;SIGN NOW COMUNICACAO VISUAL LTDA;BRL;;BRL;1;0;5,710000038;6;6;10;100;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;28/11/2018;4600035593;1000;Petróleo Brasileiro S.A.;;;00020;28/11/2018;;;F;;28/11/2018;000010;5000062396;4500045871;4500045871;2018;05;;;;;;0A246B147FC51ED8BCE55ED835FDC414;0A246B147FC51ED8BCE55ED83657C414;0000009285;CIF;Custo, seguro & frete;000001;000010;000;;;;;;;;;10101500A;PROD MICROBIOLOGICO;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;MEU ITEM;;;;;25/11/2018;01/11/2018;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;0;6;6;6;10;1250;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;03/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;03/07/2018;X;;F;;10/03/2018;000010;5000061282;4500044777;4500044777;2018;05;;;;;;0A246B147FC51ED89FD75A8DB175442F;0A246B147FC51ED89FD75A8DB1A8842F;0000002813;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;0;4,570000172;6;6;10;2361,9;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;09/10/2018;;1000;Petróleo Brasileiro S.A.;;;00000;09/10/2018;;;F;;09/10/2018;000010;5000062123;4500045530;4500045530;2018;05;;;;;;0A246B147FC51ED8B2F89A3FA8825270;0A246B147FC51ED8B2F89A3FA8C85270;0000009234;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;0;6;6;6;10;30000;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;29/11/2018;;1000;Petróleo Brasileiro S.A.;;;00000;29/11/2018;;;F;;27/11/2018;000010;5000062420;4500045864;4500045864;2018;05;;;;;;0A246B147FC51ED8BCFA7B1315D88726;0A246B147FC51ED8BCFA7B1316544726;0000009289;LPE;Livre para Estoque;000001;000010;000;000000000010000046;Aparelhos de ar condicionado Portátil 1T;;;;;;;40101701;CONDICIONADORE DE AR;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;APARELHOS DE AR CONDICIONADO PORTÁTIL 1T;;;;;;;0010000530;00000000;;;ATS MACAE TECNOLOGY INDUSTRIAL E;BRL;;BRL;1;1;6;6;6;4;7575;PRAZO
PBAMM008;0;00000000000000000000000;PB;02/01/2019;;;;;;00000;02/01/2019;;;;;;000010;5000062822;4500046132;4500046132;2019;05;;;;;;0A246B147FC51ED983D65D028DFD8E3E;0A246B147FC51ED983D65D028E528E3E;0000009349;;;000001;000010;000;;;;;;;;;;;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;;;;;;;;0010025221;00000000;X;0000000000;CHEMTECH SERVICOS DE ENGENHARIA E;BRL;;BRL;1;1;6;6;6;4;559190;PRAZO
PBAMM008;0;00000000000000000000000;PB;04/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;04/07/2018;;;F;;04/07/2018;000010;5000061432;4500044915;4500044915;2018;05;;;;;;0A246B147FC51ED89FFA26BE3F08058B;0A246B147FC51ED89FFA26BE3F55858B;0000002839;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003285;00000000;;;ALGECO LOCAÇÃO E SERVIÇOS LTDA;BRL;;BRL;1;0;4,570000172;6;6;10;629,84;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;27/07/2018;4600035358;1000;Petróleo Brasileiro S.A.;;;00010;27/07/2018;;;F;;27/07/2018;000010;5000061552;4500045059;4500045059;2018;05;;;;;;0A246B147FC51ED8A4B497B7049709B5;0A246B147FC51ED8A4B497B704CE09B5;0000002905;CIF;Custo, seguro & frete;000001;000010;000;000000000010008481;;;;;;;;31231319;TUBO CONFOR ACO INOX;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;TUBO TUBE  269 316L 0.125X 0.018;;;;;26/07/2201;26/07/2018;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;0;6;6;6;10;1136,4;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;23/10/2018;;1000;Petróleo Brasileiro S.A.;;;00000;23/10/2018;;;F;;23/10/2018;000010;5000062178;4500045652;4500045652;2018;05;;;;;;0A246B147FC51ED8B5DF400F8E5B8114;0A246B147FC51ED8B5DF400F8EE50114;0000009260;CIF;Custo, seguro & frete;000001;000010;000;000000000010011700;Tubo AC A106-B c/c API 5L;;;;;;;40142101;TUBO COND.ACO CARBON;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;TUBO AC A106 B C C API 5L;;;;;31/12/2018;08/10/2018;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;0;6;6;6;10;18356,46;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;03/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;03/07/2018;;;F;;10/03/2018;000010;5000061285;4500044777;4500044777;2018;05;;;;;;0A246B147FC51ED89FD794DC973D451F;0A246B147FC51ED89FD794DC9761851F;0000002819;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;1;4,570000172;1;1;4;1180,95;PRAZO
PBAMM008;0;00000000000000000000000;PB;21/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;21/08/2018;;;F;;17/08/2018;000030;5000061682;4500045147;4500045147;2018;05;;;;;;0A246B147FC51ED8A9AEFC1BA9188C83;0A246B147FC51ED8A9AEFC1BA9458C83;0000003020;CIF;Custo, seguro & frete;000001;000030;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;1;6;6;6;4;30000;PRAZO
PBAMM008;0;00000000000000000000000;PB;24/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;24/08/2018;X;;F;;22/08/2018;000010;5000061766;4500045171;4500045171;2018;05;;;;;;0A246B147FC51ED8A9F7E75BF6284DED;0A246B147FC51ED8A9F7E75BF6504DED;0000003064;CIP;Seguro com frete pago;000001;000010;000;;;;;;;;;10161700A;ARRANJOS DE FLORES;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TESTE DO ALARME;;;;;;;0010000219;00000000;;;SIGN NOW COMUNICACAO VISUAL LTDA;BRL;;BRL;1;1;4,570000172;1;1;4;200;PRAZO
PBAMM008;0;00000000000000000000000;PB;24/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;24/08/2018;;;F;;24/08/2018;000010;5000061777;4500045198;4500045198;2018;05;;;;;;0A246B147FC51ED8A9F97D2AF411CDE2;0A246B147FC51ED8A9F97D2AF443CDE2;0000003070;FOB;Livre a Bordo;000001;000010;000;000000000010006010;;;;;;;;40141702A;PARTES ACESSRIOS TOR;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;ACABAMENTO P VÁLV.DESC.SANITÁRIO;;;;;;;0030008741;00000000;;;TESTE ABIN10;BRL;;BRL;1;1;6;6;6;4;1219512;PRAZO
PBAMM008;0;00000000000000000000000;PB;30/08/2018;4600035380;1000;Petróleo Brasileiro S.A.;;;00010;30/08/2018;;;F;;30/08/2018;000010;5000061872;4500045238;4500045238;2018;05;;;;;;0A246B147FC51ED8AB9241DECDF14E8C;0A246B147FC51ED8AB9241DECE2E8E8C;0000006429;CIF;Custo, seguro & frete;000001;000010;000;000000000010000030;Tubo AC 5L-X46 s/c NBR 5580;;;;;;;41112901A;PARTES DE BUSSOLA;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TUBO AC 5L B PSL 2 S C 1 2  SCH160;;;;;30/08/2018;30/08/2018;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;1;6;6;6;4;11019,3;PRAZO
PBAMM008;0;00000000000000000000000;PB;29/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;29/08/2018;X;;F;;23/08/2018;000010;5000061825;4500045186;4500045186;2018;05;;;;;;0A246B147FC51ED8AAF490C27D680F26;0A246B147FC51ED8AAF490C27DA54F26;0000006399;FOB;Livre a Bordo;000001;000010;000;000000000010006010;;;;;;;;40141702A;PARTES ACESSRIOS TOR;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;ACABAMENTO P VÁLV.DESC.SANITÁRIO;;;;;;;0010083779;00000000;;;COMERCIAL RODRIGUES & ARAUJO LTDA-M;BRL;;BRL;1;1;6;6;6;10;79545,48;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;24/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;24/08/2018;;;F;;13/11/2017;000050;5000061753;4500043199;4500043199;2018;05;;;;;;0A246B147FC51ED8A9F5F4E213AB4E0F;0A246B147FC51ED8A9F5F4E213DACE0F;0000003056;CIP;Seguro com frete pago;000001;000050;000;;;;;;;;;10161700A;ARRANJOS DE FLORES;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TESTE DO ALARME;;;;;;;0010000219;00000000;;;SIGN NOW COMUNICACAO VISUAL LTDA;BRL;;BRL;1;1;4,570000172;1;1;4;1000;PRAZO
PBAMM008;0;00000000000000000000000;PB;12/12/2018;;;;;;00000;12/12/2018;;;;;;000010;5000062542;4500045991;4500045991;2018;05;;;;;;0A246B147FC51ED8BFC59A382FC489A5;0A246B147FC51ED8BFC59A383033C9A5;0000009318;;;000001;000010;000;;;;;;;;;;;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;;;;;;;;0010000530;00000000;;;ATS MACAE TECNOLOGY INDUSTRIAL E;BRL;;BRL;1;0;6;6;6;10;15150;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;03/12/2018;;1000;Petróleo Brasileiro S.A.;;;00000;03/12/2018;;;F;;18/09/2018;000030;5000062445;4500045395;4500045395;2018;05;;;;;;0A246B147FC51ED8BDE2F80933DC072E;0A246B147FC51ED8BDE2F809341F872E;0000009299;CIF;Custo, seguro & frete;000001;000030;000;;;;;;;;;10151516;MUDAS SEM SOJA;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;TESTE PROCMIRO;;;;;;;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;1;6;6;6;4;60;PRAZO
